host_ts,device_ts_s,tof_mm,ax,ay,az,gx,gy,gz
2026-02-13T01:44:30.996309,209.820,37.00,-0.6964,-0.1359,-0.8302,4.2114,6.1646,-4.7607
2026-02-13T01:44:31.146162,209.970,39.00,-0.6782,-0.1637,-0.9137,-0.9766,-10.6201,2.6245
2026-02-13T01:44:31.296118,210.120,55.00,-0.5967,-0.1082,-0.8489,7.1411,-16.4795,2.8687
2026-02-13T01:44:31.446053,210.270,91.00,-0.5072,-0.1475,-0.8376,4.9438,-24.3530,6.2866
2026-02-13T01:44:31.596143,210.420,81.00,-0.4672,-0.0017,-0.8959,4.2114,-15.2588,-4.5166
2026-02-13T01:44:31.745933,210.570,84.00,-0.2511,0.1340,-0.7557,-2.3193,-19.0430,-2.6245
2026-02-13T01:44:31.895882,210.720,85.00,-0.2599,0.0479,-0.7422,-8.6060,35.4004,-3.6011
2026-02-13T01:44:32.046036,210.870,88.00,-0.5032,0.0746,-0.8563,-18.9819,25.3296,-0.7324
2026-02-13T01:44:32.196080,211.020,84.00,-0.5439,-0.0392,-0.7191,-14.9536,25.1465,12.0850
2026-02-13T01:44:32.346121,211.170,90.00,-0.6155,-0.1302,-0.7202,-17.2119,9.7656,10.0708
2026-02-13T01:44:32.495794,211.320,75.00,-0.6144,0.0028,-0.7889,-13.4888,7.8735,8.7891
2026-02-13T01:44:32.645953,211.470,32.00,-0.7605,0.0688,-1.0295,4.5776,1.3428,0.1831
2026-02-13T01:44:32.796141,211.620,38.00,-0.6273,-0.0596,-0.8671,-11.7187,-27.9541,18.7988
2026-02-13T01:44:32.946181,211.770,97.00,-0.6473,0.0240,-0.8883,1.1597,-32.4707,-1.5259
2026-02-13T01:44:33.096080,211.920,75.00,-0.5280,0.0474,-0.7891,3.4180,-22.0337,-1.2207
2026-02-13T01:44:33.246576,212.070,76.00,-0.3492,-0.2368,-0.8923,-0.0610,-24.5361,7.5684
2026-02-13T01:44:33.396077,212.220,78.00,-0.2496,-0.0425,-0.2062,-16.4795,24.1089,3.1738
2026-02-13T01:44:33.546096,212.370,72.00,-0.3616,-0.0470,-0.9131,-12.5122,33.0811,4.5166
2026-02-13T01:44:33.695946,212.520,105.00,-0.5851,-0.1565,-0.8796,-10.6812,24.9023,7.8735
2026-02-13T01:44:33.846090,212.670,82.00,-0.6293,-0.0278,-0.9169,-9.3384,24.1089,9.3384
2026-02-13T01:44:33.995949,212.820,87.00,-0.6141,-0.0886,-0.7750,5.4932,5.8594,5.0049
2026-02-13T01:44:34.145966,212.970,41.00,-0.6036,-0.1801,-0.7888,-1.7700,3.7842,1.5869
2026-02-13T01:44:34.296199,213.120,30.00,-0.8506,-0.0490,-1.1316,-5.7373,-0.9766,5.3101
2026-02-13T01:44:34.446249,213.270,81.00,-0.7368,-0.0408,-0.8062,-0.6104,-23.5596,5.1270
2026-02-13T01:44:34.595959,213.420,115.00,-0.6224,-0.1050,-0.8221,4.8828,-23.9258,-0.2441
2026-02-13T01:44:34.746222,213.570,78.00,-0.4042,-0.1064,-0.7932,9.3994,-23.8647,-2.2583
2026-02-13T01:44:34.896113,213.720,83.00,-0.2230,0.1237,-0.5323,-5.9204,-30.8838,7.2632
2026-02-13T01:44:35.046071,213.870,77.00,-0.2953,-0.0822,-0.8290,-16.4185,15.0757,1.5259
2026-02-13T01:44:35.196025,214.020,88.00,-0.4783,-0.3477,-0.7982,-3.0518,-8.2397,2.6245
2026-02-13T01:44:35.345814,214.170,85.00,-0.5522,-0.2037,-0.8739,0.1221,29.7241,1.0986
2026-02-13T01:44:35.495818,214.320,94.00,-0.5688,-0.2684,-0.9232,5.1270,9.5215,0.0000
2026-02-13T01:44:35.645965,214.470,77.00,-0.6823,-0.0397,-1.0450,2.6245,11.9019,-5.9814
2026-02-13T01:44:35.796272,214.620,33.00,-0.7053,0.0347,-1.1167,6.1646,18.3716,-9.2773
2026-02-13T01:44:35.946071,214.770,56.00,-0.7205,-0.0269,-0.8806,-5.1880,-19.7144,0.6104
2026-02-13T01:44:36.096130,214.920,86.00,-0.4906,-0.0759,-0.8060,2.2583,-14.7705,-0.5493
2026-02-13T01:44:36.245986,215.070,79.00,-0.4250,0.1073,-0.8689,-10.6812,-17.5781,-1.1597
2026-02-13T01:44:36.396074,215.220,80.00,-0.2560,-0.1606,-0.4548,10.7422,-21.7895,-0.7935
2026-02-13T01:44:36.545824,215.370,66.00,-0.3329,-0.1505,-0.8478,4.0894,15.8081,-2.9907
2026-02-13T01:44:36.695910,215.520,87.00,-0.5453,-0.1390,-0.9247,4.6387,29.2358,-4.7607
2026-02-13T01:44:36.846123,215.670,84.00,-0.5294,-0.0172,-0.7413,-7.8735,27.2827,1.9531
2026-02-13T01:44:36.996154,215.820,87.00,-0.5793,0.0122,-0.7598,-12.8174,9.7046,3.7231
2026-02-13T01:44:37.146024,215.970,66.00,-0.5570,-0.0708,-0.7842,2.9297,15.9912,-1.0376
2026-02-13T01:44:37.295891,216.120,36.00,-0.8292,-0.1479,-1.0256,-4.7607,-14.4043,1.8921
2026-02-13T01:44:37.446093,216.270,47.00,-0.6602,-0.0767,-0.8224,-1.9531,-11.8408,4.3945
